名称,hist_1,hist_2,hist_3,hist_4,hist_5,hist_6,hist_7,hist_8
E1,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
E2,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
E3,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
E4,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
E5,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
E6,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
E7,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
E8,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
E9,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
E10,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
E11,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
E12,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
E13,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
E14,-0.1846518,-0.38376802,-0.58776295,0.8979029,-0.22381082,0.0,0.0,0.0
E15,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
E16,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
F4,-0.1846518,-0.38376802,-0.59011775,0.20521416,2.661888,0.0,0.0,0.0
F5,-0.1846518,-0.38376802,-0.59011775,0.89377975,-0.1981221,0.0,0.0,0.0
F6,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
F7,-0.1846518,-0.38376802,-0.59011775,0.86285615,-0.06967854,0.0,0.0,0.0
F8,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
F9,-0.1846518,-0.38376802,-0.59011775,0.89584136,-0.206685,0.0,0.0,0.0
F10,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
F11,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
F12,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
F13,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
F14,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
F15,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
F16,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
F17,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
F18,-0.1846518,-0.38376802,-0.52182835,0.84017885,-0.22381082,0.0,0.0,0.0
F19,-0.1846518,-0.38376802,0.5943503,-0.13700707,-0.22381082,0.0,0.0,0.0
F20,-0.1846518,-0.38376802,1.8047211,-1.196656,-0.22381082,0.0,0.0,0.0
F21,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
F22,-0.1846518,-0.38376802,1.8212048,-1.211087,-0.22381082,0.0,0.0,0.0
G1,-0.1846518,-0.38376802,-0.59011775,0.89584136,-0.206685,0.0,0.0,0.0
G2,-0.1846518,-0.38376802,-0.59011775,-0.27925566,4.6741705,0.0,0.0,0.0
G3,-0.1846518,-0.38376802,-0.59011775,0.8896566,-0.1809963,0.0,0.0,0.0
G4,-0.1846518,-0.38376802,-0.59011775,0.8896566,-0.1809963,0.0,0.0,0.0
G5,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
G6,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
G7,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
G8,-0.1846518,-0.38376802,-0.59011775,0.8917182,-0.1895592,0.0,0.0,0.0
G9,-0.1846518,-0.38376802,-0.59011775,0.89996445,-0.22381082,0.0,0.0,0.0
G10,-0.1846518,-0.38376802,-0.5571504,0.87110245,-0.22381082,0.0,0.0,0.0
