#,名称,平均pH,pH1,pH2,pH3
1,E1,3.86,3.86,3.86,3.86
2,E2,3.88333333333333,3.89,3.88,3.88
3,E3,3.59,3.59,3.59,3.59
4,E4,3.81333333333333,3.81,3.82,3.81
5,E5,3.83666666666667,3.83,3.84,3.84
6,E6,3.85666666666667,3.86,3.86,3.85
7,E7,3.80333333333333,3.81,3.8,3.8
8,E8,3.73333333333333,3.72,3.74,3.74
9,E9,3.75666666666667,3.76,3.76,3.75
10,E10,3.73666666666667,3.74,3.74,3.73
11,E11,3.70666666666667,3.71,3.71,3.7
12,E12,3.65,3.65,3.65,3.65
13,E13,3.74,3.74,3.74,3.74
14,E14,3.72666666666667,3.73,3.73,3.72
15,E15,3.86333333333333,3.87,3.86,3.86
16,E16,3.87666666666667,3.88,3.88,3.87
17,F1,3.77666666666667,3.78,3.78,3.77
18,F2,3.78,3.78,3.78,3.78
19,F3,3.77666666666667,3.78,3.78,3.77
20,F4,3.79333333333333,3.8,3.79,3.79
21,F5,3.8,3.8,3.8,3.8
22,F6,3.84,3.84,3.84,3.84
23,F7,3.92666666666667,3.93,3.93,3.92
24,F8,3.81666666666667,3.82,3.82,3.81
25,F9,3.80333333333333,3.81,3.8,3.8
26,F10,3.78666666666667,3.79,3.79,3.78
27,F11,3.76666666666667,3.76,3.77,3.77
28,F12,3.75666666666667,3.76,3.76,3.75
29,F13,3.73666666666667,3.74,3.74,3.73
30,F14,3.68666666666667,3.68,3.69,3.69
31,F15,3.70333333333333,3.7,3.71,3.7
32,F16,3.69333333333333,3.7,3.69,3.69
33,F17,3.69333333333333,3.7,3.69,3.69
34,F18,3.74333333333333,3.74,3.74,3.75
35,F19,3.77,3.77,3.77,3.77
36,F20,3.82,3.83,3.82,3.81
37,F21,3.87,3.87,3.87,3.87
38,F22,3.87666666666667,3.88,3.88,3.87
39,G1,3.73666666666667,3.74,3.74,3.73
40,G2,3.76,3.76,3.76,3.76
41,G3,3.76666666666667,3.77,3.77,3.76
42,G4,3.50666666666667,3.5,3.51,3.51
43,G5,3.81333333333333,3.81,3.81,3.82
44,G6,3.80666666666667,3.8,3.81,3.81
45,G7,3.85666666666667,3.86,3.86,3.85
46,G8,3.82,3.83,3.82,3.81
47,G9,3.78666666666667,3.78,3.79,3.79
48,G10,3.57666666666667,3.59,3.57,3.57
49,G11,3.54,3.54,3.54,3.54
50,G12,3.55333333333333,3.56,3.55,3.55
51,G13,3.55333333333333,3.56,3.55,3.55
52,G14,3.56,3.56,3.56,3.56
53,G15,3.58666666666667,3.58,3.59,3.59
54,G16,3.58666666666667,3.6,3.58,3.58
55,G17,3.59333333333333,3.6,3.59,3.59
56,G18,3.6,3.6,3.6,3.6
57,G19,3.59,3.59,3.59,3.59
58,G20,3.56666666666667,3.58,3.56,3.56
59,G21,3.66666666666667,3.69,3.66,3.65
60,G22,3.68333333333333,3.68,3.69,3.68
61,H1,3.76666666666667,3.77,3.77,3.76
62,H2,3.79666666666667,3.8,3.8,3.79
63,H3,3.81666666666667,3.83,3.81,3.81
64,H4,3.85333333333333,3.86,3.85,3.85
65,H5,3.9,3.9,3.9,3.9
66,H6,3.94666666666667,3.95,3.95,3.94
67,H7,3.95666666666667,3.96,3.96,3.95
68,H8,3.93333333333333,3.94,3.93,3.93
69,H9,3.91333333333333,3.92,3.91,3.91
70,H10,3.90666666666667,3.91,3.91,3.9
71,H11,3.88333333333333,3.89,3.88,3.88
72,H12,3.83333333333333,3.83,3.84,3.83
73,H13,3.86333333333333,3.87,3.86,3.86
74,H14,3.83666666666667,3.83,3.84,3.84
75,H15,3.84666666666667,3.85,3.85,3.84
76,H16,3.86333333333333,3.87,3.86,3.86
77,H17,3.81666666666667,3.81,3.82,3.82
78,H18,3.92666666666667,3.93,3.93,3.92
79,H19,3.89666666666667,3.9,3.9,3.89
80,H20,3.94666666666667,3.95,3.95,3.94
81,H21,3.95666666666667,3.96,3.96,3.95
82,I1,3.68,3.68,3.68,3.68
83,I2,3.70666666666667,3.71,3.71,3.7
84,I3,3.75666666666667,3.76,3.76,3.75
85,I4,3.86666666666667,3.87,3.87,3.86
86,I5,3.92666666666667,3.93,3.93,3.92
87,I6,3.97666666666667,3.98,3.98,3.97
88,I7,3.97333333333333,3.98,3.97,3.97
89,I8,3.96666666666667,3.97,3.97,3.96
90,I9,3.93666666666667,3.94,3.94,3.93
91,I10,3.76,3.76,3.76,3.76
92,I11,3.74333333333333,3.75,3.74,3.74
93,I12,3.73333333333333,3.74,3.73,3.73
94,I13,3.73333333333333,3.74,3.73,3.73
